PuzzleId,Rating,FEN,Moves,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
lkeX8,1436,4r1k1/p4pp1/7p/2b5/2PqP1n1/8/PPQB2PP/4RR1K b - - 0 22,d4g1 f1g1 g4f2,90,79,1237,kingsideAttack mate mateIn2 middlegame sacrifice short smotheredMate,https://lichess.org/HCb2EkKb#43,
mV5Zz,1436,1r5k/7q/3p3Q/2p5/2P2p1P/1p6/r7/2K3R1 w - - 1 34,h6f6 h7g7 f6g7,74,84,310,endgame mate mateIn2 short,https://lichess.org/ewRtOUK7/black#66,
rFb0j,1436,6k1/8/1Q2pppp/8/3P4/5NP1/5P1P/2r2bK1 b - - 2 36,f1h3 f3e1 c1e1,75,97,9275,discoveredAttack endgame mate mateIn2 short,https://lichess.org/0xNoF9ce#71,
PgzEP,1437,r3r1k1/2pp1pp1/1p1n4/p1q3pQ/P3b3/1BP4R/5RPP/6K1 w - - 6 25,h5h8,81,84,128,mate mateIn1 middlegame oneMove,https://lichess.org/D0nd7CAX/black#48,
RBtA8,1437,1bR4r/1P3k2/N5p1/3n1p2/4p3/3p4/5PP1/3RK3 b - - 15 42,h8h1 e1d2 b8f4,76,95,442,endgame mate mateIn2 short,https://lichess.org/zOvgRvWT#83,
41TIT,1437,r4rk1/pp3ppp/2p1p3/8/3Pn3/P1P2n1P/BP3RP1/R1BQ1K2 b - - 0 23,e4g3,88,84,1404,mate mateIn1 middlegame oneMove,https://lichess.org/AyiX7qRQ#45,
CBEsi,1437,1r6/1b3Bkp/pR1p2p1/2p2p2/2Pb1P1q/2N4P/PP2Q1P1/5R1K b - - 0 26,h4h3,76,93,1039,kingsideAttack mate mateIn1 middlegame oneMove pin,https://lichess.org/viQL7CPB#51,
jauuu,1437,5rk1/p4pbp/1p3qp1/2p5/8/BBP2PPb/P2P3P/R2Q2KR b - - 0 18,f6d4 c3d4 g7d4,81,89,10113,bodenMate kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/uAPVbgs0#35,English_Opening English_Opening_Kings_English_Variation
M9eTy,1437,r5rk/1p4pp/6nN/1p6/3q4/4b1P1/PPP2R1P/1K3R2 w - - 0 28,h6f7,165,69,130,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/1psE85ra/black#54,
dc6Im,1437,8/6r1/8/5R2/5P2/4P3/5k2/7K b - - 0 93,g7h7 f5h5 h7h5,76,93,1108,endgame master mate mateIn2 rookEndgame short,https://lichess.org/bWrwvisC#185,
T45RS,1437,rn3rk1/p4pbp/b2p1qp1/3P4/4P3/2N1B3/PP1Q2PP/R3K1NR b KQ - 2 15,f6f1,77,65,367,mate mateIn1 oneMove opening,https://lichess.org/wvyW7PSC#29,Indian_Defense Indian_Defense_Other_variations
bvEMI,1437,4r2Q/1p3k2/prq2pp1/3p4/3P1B1p/2P4P/PP2R3/5K2 w - - 4 31,h8h7 f7f8 f4h6,76,92,188,endgame mate mateIn2 short,https://lichess.org/i1lElxcf/black#60,
FUDbs,1437,r2qr2k/ppp3p1/2nb1pB1/3p1p2/3P4/1PP1P3/PB1n1P2/R2QK3 w Q - 0 21,d1h5 h8g8 h5h7 g8f8 h7h8 f8e7 h8g7 e7e6 g7f7,77,99,1141,deflection kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/WKYgAz40/black#40,
LDOsE,1438,Q3R3/5ppk/p4r1p/2r5/P7/8/q4PPP/5RK1 b - - 5 30,a2f2 f1f2 c5c1 e8e1 c1e1 f2f1 f6f1,77,86,1615,endgame mate mateIn4 sacrifice veryLong,https://lichess.org/tKckd4oZ#59,
Khf6S,1438,rn2kb1r/pp2pppp/2p5/8/1q1P1nQ1/2N5/PPP1NPPP/R3K2R w KQkq - 0 11,g4c8,74,89,795,mate mateIn1 middlegame oneMove,https://lichess.org/7jxjDcIE/black#20,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
3y1eh,1438,5R2/8/1b6/3kpP1N/8/3K4/1r6/8 b - - 2 51,e5e4 d3c3 b6d4,74,79,248,endgame master mate mateIn2 short,https://lichess.org/WV5h1tfI#101,
xLGf6,1438,4rr1k/pPp3p1/6p1/3BNb2/1P1P3b/2P5/P2K2Q1/RNB3q1 b - - 4 23,g1e1,114,33,36,mate mateIn1 middlegame oneMove,https://lichess.org/yVCYottT#45,
7I9ad,1438,r1b1kbnr/pppp2pp/5p2/6B1/8/8/P1PQBPPP/qN2R1K1 w kq - 0 11,e2h5 e8d8 e1e8,75,89,2668,doubleCheck mate mateIn2 middlegame short,https://lichess.org/J0qzijVx/black#20,Kings_Pawn_Game Kings_Pawn_Game_McConnell_Defense
UDgIH,1439,6k1/ppr2rp1/4pRQ1/3p2R1/3P4/1PP5/P5PP/2Bq1N1K b - - 4 30,d1f1 f6f1 f7f1,76,93,2804,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/YEsfusd6#59,
E4g7C,1439,1r1qk2r/p3nppp/2p5/4P3/PbB1P3/2P5/Q4PPP/R1B2KNR b k - 0 15,d8d1,84,67,98,mate mateIn1 middlegame oneMove,https://lichess.org/N4F3yDBB#29,Slav_Defense Slav_Defense_Other_variations
jIidU,1439,r4knr/ppN3pp/2np1p2/4p2Q/2B1P1b1/5N2/PPPP2qP/R1BK2b1 w - - 1 12,h5f7,76,92,1498,mate mateIn1 middlegame oneMove,https://lichess.org/Yehuu0Rn/black#22,Vienna_Game Vienna_Game_Stanley_Variation
eVZ4V,1439,3rrk2/1pp2ppp/p7/3nN3/5PP1/7P/PP2R3/4R1K1 w - - 1 22,e5d7 f8g8 e2e8 d8e8 e1e8,76,90,244,backRankMate deflection discoveredAttack endgame long mate mateIn3,https://lichess.org/TBaaglx5/black#42,
eDeGF,1439,5rk1/ppp3p1/3p4/6Q1/5q2/6R1/PP4PP/R5K1 b - - 0 25,f4f2 g1h1 f2f1 a1f1 f8f1,88,83,603,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/l9bh43du#49,
thH2g,1439,r1b2rk1/p2p2pp/2p1pq2/2p1N3/8/2N5/PPP2PPP/R2QK2R b KQ - 0 12,f6f2,76,72,131,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/CaCawNWL#23,Benoni_Defense Benoni_Defense_Old_Benoni
auQv9,1439,r1b2k1r/pp4pp/2pp4/3B4/3P4/8/PP1KR3/R7 w - - 0 24,a1f1 c8f5 f1f5,74,91,811,endgame mate mateIn2 short,https://lichess.org/1NWiwdYL/black#46,
B0FMs,1440,r5kr/1pp1Qpp1/p4n1p/8/4PN2/3P1bPq/PPP2P2/R1N2RK1 b - - 6 22,h3h1,183,76,82,mate mateIn1 middlegame oneMove,https://lichess.org/dcvh0L4l#43,
YJgTY,1440,6k1/pp2n2p/3pN1pQ/2p2p2/8/1PqP3P/2P3P1/5K2 w - - 0 33,h6f8,93,48,69,endgame mate mateIn1 oneMove,https://lichess.org/2WQIWyWX/black#64,
2771i,1440,1k6/p1p2ppp/2Q2n2/b6q/3N4/4P2P/PP1r1PP1/R4K1R b - - 2 19,d2d1 a1d1 h5d1,77,95,14554,mate mateIn2 middlegame short,https://lichess.org/gmyORxTy#37,Queens_Pawn_Game Queens_Pawn_Game_Symmetrical_Variation
XaIFA,1440,6k1/3R2p1/1r5p/5K1P/3P1PP1/8/4r3/5R2 b - - 12 51,b6f6,96,74,165,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/gyBe3PEz#101,
hrEU6,1440,6k1/3R1p1p/5qp1/2p5/2P1r3/1Q6/P4PPP/R5K1 b - - 0 27,f6a1 d7d1 e4e1 d1e1 a1e1,75,97,10427,endgame hangingPiece long mate mateIn3 xRayAttack,https://lichess.org/gI77At8i#53,
ssQBk,1440,7k/pp2nQbp/6p1/2pBpp2/2P5/6PP/5q2/7K w - - 0 35,f7e8 g7f8 e8f8 e7g8 f8g8,77,94,55,endgame fork long mate mateIn3,https://lichess.org/PLtE7H67/black#68,
egPZK,1440,6k1/pp3r1p/4b1pQ/4p3/6P1/Pq6/1Pr5/KB1R3R w - - 3 25,d1d8 f7f8 d8f8,83,86,74,killBoxMate mate mateIn2 middlegame short,https://lichess.org/44KUnJtl/black#48,
UL3w5,1441,7r/k4p2/PppP3r/4p3/P1BR1qp1/1Q4N1/5PP1/5RK1 b - - 0 27,h6h1 g3h1 f4h2,77,91,7012,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/g3DebpPP#53,
